,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5
26,26,0.17,0.0,0.3,0.15,0.18,0.21,0.38,0.15,0.0,0.06,0.29,0.12,0.08,0.14,0.48,0.0,0.22,0.09,0.15,0.24,0.3,0.2,0.0,0.1,0.17,0.19,0.43,0.1,0.11,0.0
27,27,0.19,0.0,0.31,0.16,0.22,0.11,0.23,0.36,0.0,0.09,0.24,0.09,0.07,0.17,0.5,0.0,0.22,0.04,0.15,0.27,0.29,0.2,0.0,0.09,0.09,0.24,0.34,0.15,0.17,0.0
28,28,0.18,0.0,0.29,0.16,0.2,0.16,0.27,0.29,0.0,0.09,0.25,0.11,0.09,0.12,0.38,0.0,0.29,0.12,0.15,0.25,0.26,0.24,0.0,0.11,0.13,0.17,0.29,0.17,0.24,0.0
29,29,0.15,0.0,0.29,0.18,0.22,0.15,0.21,0.39,0.0,0.16,0.12,0.12,0.07,0.12,0.5,0.0,0.17,0.14,0.08,0.2,0.29,0.24,0.0,0.2,0.1,0.14,0.22,0.18,0.36,0.0
30,30,0.27,0.0,0.18,0.08,0.21,0.27,0.31,0.23,0.0,0.08,0.23,0.15,0.15,0.16,0.3,0.0,0.22,0.17,0.18,0.21,0.21,0.18,0.0,0.22,0.21,0.17,0.38,0.14,0.1,0.0
31,31,0.2,0.0,0.22,0.11,0.22,0.25,0.28,0.24,0.0,0.1,0.25,0.14,0.08,0.16,0.42,0.0,0.19,0.15,0.12,0.23,0.24,0.26,0.0,0.15,0.16,0.16,0.28,0.19,0.21,0.0
32,32,0.16,0.0,0.27,0.16,0.26,0.15,0.23,0.13,0.0,0.15,0.38,0.11,0.09,0.14,0.53,0.0,0.19,0.04,0.07,0.21,0.33,0.34,0.0,0.06,0.12,0.12,0.38,0.22,0.16,0.0
33,33,0.25,0.0,0.2,0.13,0.27,0.15,0.28,0.11,0.0,0.14,0.34,0.13,0.12,0.12,0.48,0.0,0.25,0.03,0.12,0.27,0.23,0.24,0.0,0.13,0.11,0.14,0.24,0.29,0.23,0.0
34,34,0.17,0.0,0.28,0.22,0.2,0.13,0.18,0.13,0.0,0.22,0.28,0.19,0.08,0.11,0.54,0.0,0.2,0.07,0.12,0.21,0.28,0.3,0.0,0.1,0.09,0.1,0.33,0.28,0.2,0.0
35,35,0.19,0.0,0.3,0.12,0.24,0.15,0.22,0.14,0.0,0.08,0.37,0.19,0.08,0.12,0.43,0.0,0.28,0.08,0.13,0.23,0.3,0.21,0.0,0.13,0.09,0.14,0.54,0.07,0.16,0.0
36,36,0.17,0.0,0.34,0.14,0.23,0.11,0.16,0.27,0.0,0.09,0.37,0.12,0.07,0.16,0.51,0.0,0.22,0.04,0.05,0.32,0.33,0.22,0.0,0.07,0.2,0.26,0.33,0.11,0.11,0.0
37,37,0.14,0.0,0.37,0.16,0.24,0.1,0.14,0.42,0.0,0.12,0.21,0.11,0.06,0.12,0.61,0.0,0.16,0.05,0.04,0.18,0.44,0.29,0.0,0.05,0.08,0.16,0.46,0.15,0.15,0.0
38,38,0.21,0.0,0.27,0.08,0.3,0.13,0.29,0.2,0.0,0.1,0.27,0.14,0.09,0.13,0.42,0.0,0.26,0.09,0.06,0.21,0.3,0.36,0.0,0.07,0.11,0.16,0.35,0.15,0.23,0.0
39,39,0.21,0.0,0.35,0.1,0.19,0.16,0.42,0.15,0.0,0.08,0.21,0.15,0.11,0.19,0.44,0.0,0.23,0.03,0.14,0.21,0.27,0.28,0.0,0.09,0.32,0.16,0.34,0.1,0.08,0.0
40,40,0.16,0.0,0.31,0.21,0.14,0.18,0.35,0.1,0.0,0.1,0.26,0.18,0.06,0.1,0.45,0.0,0.17,0.22,0.12,0.23,0.32,0.22,0.0,0.12,0.12,0.14,0.35,0.18,0.21,0.0
41,41,0.21,0.0,0.18,0.1,0.22,0.29,0.26,0.08,0.0,0.06,0.35,0.24,0.07,0.09,0.28,0.0,0.31,0.25,0.16,0.2,0.2,0.19,0.0,0.26,0.15,0.15,0.35,0.19,0.16,0.0
42,42,0.27,0.0,0.26,0.08,0.24,0.15,0.29,0.1,0.0,0.07,0.38,0.16,0.11,0.12,0.51,0.0,0.21,0.05,0.18,0.25,0.27,0.21,0.0,0.09,0.25,0.16,0.35,0.14,0.1,0.0
43,43,0.15,0.0,0.18,0.12,0.17,0.14,0.12,0.08,0.0,0.12,0.28,0.14,0.06,0.11,0.31,0.0,0.22,0.06,0.04,0.18,0.19,0.2,0.0,0.13,0.1,0.12,0.16,0.14,0.24,0.0
