,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P1_TO_P8,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P2_TO_P8,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P3_TO_P8,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P4_TO_P8,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P5_TO_P8,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P6_TO_P8,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7,P7_TO_P8,P8_TO_LAPTOP,P8_TO_P1,P8_TO_P2,P8_TO_P3,P8_TO_P4,P8_TO_P5,P8_TO_P6,P8_TO_P7,P8_TO_P8
10,10,0.02,0.0,0.05,0.06,0.21,0.37,0.14,0.03,0.13,0.02,0.01,0.0,0.03,0.35,0.13,0.3,0.1,0.06,0.02,0.01,0.02,0.0,0.29,0.48,0.1,0.05,0.05,0.01,0.04,0.01,0.06,0.0,0.06,0.71,0.03,0.08,0.02,0.47,0.08,0.08,0.14,0.0,0.13,0.03,0.05,0.03,0.01,0.03,0.05,0.73,0.07,0.0,0.05,0.04,0.0,0.08,0.0,0.02,0.12,0.1,0.63,0.0,0.04,0.0,0.03,0.0,0.05,0.17,0.11,0.32,0.33,0.0
11,11,0.11,0.0,0.04,0.08,0.21,0.34,0.08,0.01,0.12,0.02,0.02,0.0,0.04,0.43,0.19,0.14,0.1,0.06,0.03,0.01,0.02,0.0,0.7,0.09,0.03,0.04,0.08,0.01,0.05,0.01,0.06,0.0,0.04,0.7,0.04,0.09,0.03,0.45,0.09,0.08,0.18,0.0,0.08,0.04,0.04,0.03,0.03,0.13,0.22,0.36,0.07,0.0,0.08,0.08,0.0,0.1,0.0,0.03,0.1,0.11,0.61,0.0,0.05,0.0,0.04,0.0,0.05,0.17,0.11,0.38,0.26,0.0
12,12,0.12,0.0,0.04,0.06,0.15,0.39,0.07,0.01,0.17,0.01,0.0,0.0,0.02,0.1,0.05,0.68,0.1,0.04,0.02,0.03,0.04,0.0,0.31,0.07,0.03,0.08,0.41,0.02,0.05,0.01,0.06,0.0,0.1,0.66,0.03,0.08,0.43,0.28,0.03,0.06,0.1,0.0,0.07,0.02,0.01,0.03,0.01,0.04,0.04,0.69,0.08,0.0,0.06,0.05,0.01,0.08,0.01,0.03,0.14,0.14,0.53,0.0,0.06,0.0,0.03,0.02,0.04,0.18,0.37,0.19,0.18,0.0
13,13,0.34,0.0,0.03,0.17,0.19,0.11,0.08,0.01,0.06,0.01,0.01,0.0,0.02,0.09,0.06,0.67,0.09,0.04,0.0,0.02,0.02,0.0,0.08,0.13,0.03,0.63,0.09,0.04,0.08,0.03,0.13,0.0,0.07,0.05,0.46,0.14,0.27,0.07,0.04,0.09,0.26,0.0,0.09,0.09,0.08,0.03,0.06,0.03,0.09,0.61,0.07,0.0,0.06,0.05,0.03,0.12,0.04,0.07,0.27,0.26,0.1,0.0,0.1,0.0,0.04,0.0,0.04,0.26,0.43,0.14,0.1,0.0
14,14,0.03,0.0,0.05,0.13,0.1,0.14,0.37,0.08,0.09,0.02,0.01,0.0,0.04,0.2,0.14,0.47,0.1,0.03,0.01,0.0,0.01,0.0,0.1,0.39,0.4,0.04,0.04,0.02,0.04,0.02,0.07,0.0,0.1,0.24,0.46,0.05,0.23,0.13,0.07,0.09,0.19,0.0,0.19,0.05,0.05,0.02,0.07,0.03,0.16,0.28,0.23,0.0,0.12,0.09,0.01,0.07,0.01,0.03,0.12,0.13,0.57,0.0,0.06,0.0,0.03,0.0,0.05,0.18,0.26,0.35,0.13,0.0
15,15,0.01,0.0,0.02,0.05,0.07,0.13,0.56,0.05,0.1,0.0,0.0,0.0,0.0,0.03,0.02,0.9,0.04,0.01,0.02,0.0,0.01,0.0,0.22,0.07,0.65,0.01,0.02,0.01,0.01,0.0,0.02,0.0,0.01,0.92,0.01,0.02,0.55,0.07,0.0,0.05,0.09,0.0,0.2,0.03,0.01,0.02,0.04,0.05,0.05,0.28,0.03,0.0,0.44,0.09,0.0,0.03,0.01,0.01,0.03,0.03,0.87,0.0,0.02,0.0,0.01,0.0,0.03,0.08,0.07,0.71,0.09,0.0
16,16,0.02,0.0,0.04,0.05,0.08,0.16,0.4,0.05,0.19,0.01,0.01,0.0,0.02,0.09,0.08,0.69,0.07,0.04,0.02,0.0,0.01,0.0,0.43,0.05,0.44,0.02,0.04,0.01,0.03,0.02,0.05,0.0,0.03,0.56,0.24,0.05,0.26,0.36,0.03,0.05,0.09,0.0,0.16,0.04,0.02,0.04,0.1,0.04,0.05,0.44,0.11,0.0,0.14,0.09,0.0,0.04,0.01,0.02,0.07,0.06,0.75,0.0,0.04,0.0,0.02,0.0,0.05,0.11,0.12,0.53,0.17,0.0
17,17,0.02,0.0,0.03,0.04,0.1,0.29,0.41,0.03,0.08,0.0,0.0,0.0,0.01,0.06,0.03,0.82,0.05,0.03,0.01,0.01,0.01,0.0,0.13,0.11,0.69,0.02,0.02,0.02,0.03,0.01,0.05,0.0,0.18,0.57,0.09,0.05,0.32,0.17,0.02,0.07,0.13,0.0,0.23,0.04,0.02,0.04,0.15,0.04,0.07,0.41,0.11,0.0,0.09,0.1,0.0,0.04,0.01,0.02,0.06,0.05,0.79,0.0,0.03,0.0,0.01,0.01,0.05,0.13,0.12,0.52,0.15,0.0
18,18,0.01,0.0,0.03,0.05,0.08,0.09,0.56,0.04,0.14,0.01,0.0,0.0,0.02,0.06,0.04,0.79,0.06,0.02,0.0,0.0,0.01,0.0,0.07,0.09,0.77,0.03,0.02,0.02,0.02,0.01,0.06,0.0,0.04,0.69,0.12,0.04,0.1,0.07,0.04,0.1,0.22,0.0,0.3,0.11,0.07,0.02,0.16,0.04,0.03,0.21,0.04,0.0,0.23,0.28,0.0,0.07,0.01,0.03,0.07,0.08,0.7,0.0,0.04,0.0,0.02,0.0,0.05,0.11,0.09,0.51,0.22,0.0
19,19,0.02,0.0,0.04,0.08,0.08,0.07,0.58,0.02,0.11,0.01,0.05,0.0,0.01,0.15,0.48,0.28,0.01,0.01,0.0,0.0,0.01,0.0,0.08,0.1,0.74,0.03,0.02,0.03,0.04,0.02,0.13,0.0,0.09,0.54,0.06,0.08,0.27,0.07,0.03,0.08,0.18,0.0,0.25,0.08,0.04,0.02,0.05,0.05,0.05,0.12,0.02,0.0,0.61,0.08,0.01,0.08,0.01,0.03,0.07,0.08,0.68,0.0,0.03,0.0,0.03,0.0,0.05,0.12,0.09,0.59,0.13,0.0
20,20,0.01,0.0,0.07,0.19,0.09,0.08,0.28,0.03,0.24,0.03,0.02,0.0,0.04,0.19,0.21,0.32,0.15,0.05,0.01,0.01,0.01,0.0,0.08,0.13,0.67,0.06,0.02,0.08,0.1,0.05,0.19,0.0,0.2,0.18,0.13,0.09,0.16,0.32,0.07,0.07,0.13,0.0,0.17,0.04,0.03,0.02,0.05,0.05,0.05,0.11,0.01,0.0,0.62,0.08,0.01,0.1,0.01,0.04,0.09,0.11,0.59,0.0,0.04,0.0,0.04,0.0,0.06,0.15,0.12,0.45,0.18,0.0
21,21,0.01,0.0,0.09,0.24,0.05,0.06,0.27,0.06,0.23,0.01,0.0,0.0,0.02,0.1,0.05,0.59,0.18,0.04,0.01,0.01,0.02,0.0,0.1,0.22,0.56,0.06,0.03,0.07,0.08,0.03,0.12,0.0,0.39,0.11,0.09,0.11,0.05,0.55,0.09,0.06,0.1,0.0,0.09,0.03,0.03,0.01,0.04,0.06,0.06,0.13,0.0,0.0,0.64,0.06,0.01,0.13,0.01,0.05,0.07,0.2,0.49,0.0,0.03,0.0,0.03,0.01,0.07,0.13,0.12,0.41,0.25,0.0
22,22,0.06,0.0,0.08,0.07,0.07,0.11,0.18,0.34,0.1,0.0,0.0,0.0,0.01,0.08,0.05,0.7,0.12,0.04,0.01,0.0,0.01,0.0,0.1,0.2,0.61,0.03,0.03,0.06,0.07,0.04,0.14,0.0,0.28,0.2,0.08,0.12,0.5,0.07,0.02,0.07,0.17,0.0,0.09,0.04,0.04,0.01,0.04,0.06,0.04,0.14,0.0,0.0,0.64,0.06,0.0,0.29,0.02,0.06,0.06,0.56,0.01,0.0,0.0,0.03,0.03,0.0,0.06,0.13,0.11,0.43,0.21,0.0
23,23,0.05,0.0,0.08,0.06,0.07,0.06,0.6,0.04,0.05,0.0,0.0,0.0,0.01,0.08,0.06,0.69,0.11,0.04,0.02,0.0,0.02,0.0,0.33,0.36,0.19,0.03,0.06,0.03,0.06,0.02,0.11,0.0,0.43,0.19,0.07,0.1,0.54,0.06,0.01,0.07,0.13,0.0,0.08,0.04,0.07,0.02,0.04,0.06,0.04,0.14,0.01,0.0,0.64,0.06,0.0,0.3,0.02,0.06,0.06,0.54,0.02,0.0,0.0,0.0,0.03,0.0,0.05,0.12,0.14,0.44,0.22,0.0
24,24,0.02,0.0,0.06,0.05,0.12,0.55,0.11,0.06,0.04,0.01,0.0,0.0,0.02,0.11,0.16,0.56,0.09,0.05,0.01,0.01,0.01,0.0,0.28,0.51,0.1,0.04,0.05,0.01,0.03,0.01,0.06,0.0,0.69,0.09,0.06,0.05,0.15,0.42,0.05,0.07,0.12,0.0,0.06,0.04,0.1,0.02,0.04,0.06,0.03,0.13,0.04,0.0,0.62,0.06,0.0,0.25,0.02,0.05,0.06,0.51,0.11,0.0,0.01,0.0,0.03,0.0,0.05,0.14,0.21,0.43,0.15,0.0
25,25,0.03,0.0,0.03,0.04,0.04,0.06,0.19,0.5,0.11,0.0,0.0,0.0,0.02,0.09,0.06,0.67,0.11,0.05,0.01,0.01,0.02,0.0,0.13,0.29,0.45,0.06,0.03,0.03,0.06,0.02,0.09,0.0,0.48,0.14,0.08,0.1,0.16,0.33,0.07,0.08,0.15,0.0,0.15,0.04,0.02,0.03,0.24,0.04,0.05,0.35,0.09,0.0,0.1,0.11,0.01,0.11,0.01,0.04,0.07,0.08,0.63,0.0,0.04,0.07,0.03,0.0,0.06,0.11,0.11,0.37,0.25,0.0
26,26,0.03,0.0,0.05,0.04,0.06,0.07,0.19,0.49,0.07,0.03,0.01,0.0,0.04,0.23,0.34,0.25,0.06,0.04,0.01,0.0,0.02,0.0,0.1,0.19,0.6,0.05,0.03,0.03,0.03,0.02,0.06,0.0,0.06,0.68,0.02,0.09,0.5,0.11,0.04,0.07,0.11,0.0,0.13,0.02,0.01,0.02,0.21,0.02,0.04,0.17,0.41,0.0,0.04,0.09,0.38,0.1,0.03,0.04,0.09,0.11,0.21,0.0,0.04,0.0,0.03,0.0,0.07,0.12,0.12,0.34,0.32,0.0
27,27,0.01,0.0,0.02,0.03,0.06,0.04,0.37,0.42,0.04,0.02,0.02,0.0,0.02,0.33,0.27,0.26,0.03,0.04,0.01,0.01,0.01,0.0,0.08,0.12,0.68,0.06,0.02,0.03,0.03,0.02,0.06,0.0,0.05,0.71,0.02,0.07,0.4,0.17,0.02,0.07,0.1,0.0,0.2,0.02,0.02,0.03,0.3,0.03,0.05,0.22,0.19,0.0,0.08,0.1,0.02,0.08,0.02,0.05,0.09,0.11,0.59,0.0,0.04,0.0,0.02,0.0,0.06,0.09,0.09,0.42,0.31,0.0
28,28,0.02,0.0,0.04,0.06,0.09,0.07,0.3,0.31,0.11,0.19,0.02,0.0,0.06,0.16,0.1,0.34,0.09,0.05,0.01,0.0,0.01,0.0,0.1,0.14,0.66,0.06,0.02,0.03,0.05,0.02,0.1,0.0,0.09,0.55,0.06,0.09,0.03,0.46,0.08,0.06,0.12,0.0,0.18,0.03,0.02,0.01,0.05,0.05,0.05,0.12,0.01,0.0,0.55,0.17,0.02,0.08,0.01,0.04,0.1,0.1,0.6,0.0,0.06,0.0,0.02,0.0,0.06,0.09,0.09,0.39,0.35,0.0
29,29,0.0,0.0,0.0,0.03,0.08,0.04,0.18,0.62,0.05,0.06,0.02,0.0,0.06,0.24,0.23,0.23,0.1,0.07,0.01,0.0,0.01,0.0,0.1,0.12,0.66,0.07,0.03,0.04,0.05,0.02,0.11,0.0,0.28,0.25,0.14,0.1,0.46,0.18,0.03,0.07,0.1,0.0,0.12,0.04,0.0,0.01,0.04,0.06,0.06,0.11,0.0,0.0,0.65,0.07,0.01,0.08,0.01,0.04,0.09,0.09,0.63,0.0,0.05,0.0,0.03,0.0,0.06,0.11,0.11,0.36,0.33,0.0
30,30,0.05,0.0,0.06,0.06,0.08,0.1,0.29,0.27,0.09,0.02,0.04,0.0,0.05,0.19,0.49,0.1,0.06,0.05,0.02,0.0,0.02,0.0,0.25,0.26,0.36,0.04,0.04,0.04,0.06,0.03,0.13,0.0,0.16,0.35,0.11,0.11,0.62,0.07,0.0,0.07,0.1,0.0,0.13,0.01,0.0,0.01,0.04,0.06,0.06,0.12,0.01,0.0,0.64,0.06,0.0,0.06,0.01,0.03,0.11,0.1,0.63,0.0,0.05,0.0,0.03,0.0,0.06,0.11,0.11,0.41,0.29,0.0
31,31,0.01,0.0,0.01,0.05,0.09,0.04,0.12,0.59,0.08,0.03,0.02,0.0,0.06,0.37,0.26,0.11,0.06,0.09,0.01,0.01,0.02,0.0,0.15,0.19,0.53,0.05,0.04,0.03,0.05,0.02,0.12,0.0,0.27,0.27,0.12,0.11,0.53,0.12,0.02,0.06,0.13,0.0,0.08,0.05,0.01,0.01,0.04,0.06,0.06,0.12,0.0,0.0,0.64,0.07,0.01,0.08,0.01,0.03,0.09,0.11,0.62,0.0,0.06,0.0,0.03,0.0,0.06,0.1,0.11,0.33,0.36,0.0
32,32,0.04,0.0,0.06,0.06,0.08,0.1,0.53,0.08,0.06,0.02,0.02,0.0,0.04,0.14,0.24,0.43,0.08,0.04,0.02,0.01,0.02,0.0,0.13,0.37,0.38,0.03,0.04,0.03,0.06,0.02,0.12,0.0,0.37,0.09,0.08,0.23,0.42,0.09,0.03,0.07,0.19,0.0,0.13,0.05,0.02,0.01,0.04,0.06,0.05,0.12,0.0,0.0,0.64,0.06,0.01,0.08,0.01,0.02,0.07,0.11,0.62,0.0,0.07,0.03,0.03,0.0,0.09,0.09,0.12,0.21,0.44,0.0
33,33,0.1,0.0,0.04,0.08,0.08,0.09,0.23,0.26,0.12,0.02,0.02,0.0,0.04,0.13,0.21,0.45,0.08,0.05,0.01,0.01,0.01,0.0,0.09,0.14,0.65,0.04,0.03,0.03,0.07,0.03,0.15,0.0,0.28,0.19,0.09,0.17,0.47,0.11,0.03,0.08,0.16,0.0,0.11,0.03,0.02,0.01,0.04,0.06,0.06,0.11,0.0,0.0,0.64,0.07,0.02,0.09,0.02,0.04,0.19,0.12,0.41,0.0,0.11,0.01,0.03,0.0,0.08,0.09,0.11,0.24,0.44,0.0
34,34,0.04,0.0,0.07,0.12,0.1,0.11,0.27,0.11,0.19,0.05,0.04,0.0,0.08,0.24,0.28,0.15,0.08,0.09,0.01,0.01,0.01,0.0,0.09,0.13,0.67,0.04,0.03,0.02,0.04,0.02,0.07,0.0,0.13,0.61,0.03,0.08,0.65,0.05,0.0,0.05,0.12,0.0,0.1,0.01,0.01,0.03,0.05,0.04,0.08,0.26,0.2,0.0,0.25,0.1,0.02,0.09,0.02,0.04,0.21,0.12,0.41,0.0,0.1,0.01,0.03,0.0,0.07,0.08,0.09,0.32,0.39,0.0
35,35,0.02,0.0,0.06,0.07,0.07,0.14,0.47,0.06,0.11,0.01,0.03,0.0,0.07,0.2,0.37,0.23,0.04,0.04,0.02,0.01,0.01,0.0,0.17,0.11,0.6,0.04,0.04,0.01,0.05,0.01,0.06,0.0,0.08,0.68,0.02,0.07,0.16,0.04,0.32,0.05,0.13,0.0,0.2,0.01,0.08,0.02,0.01,0.02,0.04,0.55,0.25,0.0,0.06,0.05,0.01,0.11,0.01,0.04,0.08,0.1,0.64,0.0,0.03,0.01,0.02,0.0,0.07,0.11,0.09,0.42,0.27,0.0
36,36,0.11,0.0,0.04,0.06,0.11,0.36,0.22,0.04,0.04,0.02,0.04,0.0,0.06,0.25,0.41,0.13,0.05,0.04,0.01,0.01,0.02,0.0,0.11,0.25,0.53,0.05,0.03,0.04,0.05,0.02,0.08,0.0,0.12,0.53,0.07,0.08,0.08,0.45,0.09,0.06,0.13,0.0,0.13,0.02,0.04,0.03,0.03,0.18,0.16,0.36,0.08,0.0,0.11,0.07,0.01,0.11,0.01,0.04,0.08,0.1,0.64,0.0,0.02,0.02,0.03,0.0,0.08,0.08,0.1,0.3,0.4,0.0
37,37,0.14,0.0,0.05,0.16,0.12,0.23,0.12,0.11,0.06,0.03,0.03,0.0,0.03,0.24,0.52,0.07,0.05,0.04,0.02,0.01,0.02,0.0,0.23,0.43,0.19,0.04,0.06,0.28,0.12,0.04,0.23,0.0,0.16,0.04,0.08,0.05,0.05,0.63,0.06,0.06,0.11,0.0,0.05,0.03,0.02,0.08,0.03,0.03,0.16,0.14,0.35,0.0,0.12,0.08,0.02,0.1,0.01,0.04,0.08,0.09,0.62,0.0,0.03,0.01,0.04,0.0,0.08,0.09,0.11,0.25,0.41,0.0
38,38,0.09,0.0,0.04,0.07,0.07,0.17,0.12,0.35,0.08,0.03,0.01,0.0,0.03,0.09,0.05,0.67,0.07,0.04,0.02,0.0,0.02,0.0,0.32,0.49,0.02,0.06,0.06,0.02,0.12,0.07,0.45,0.0,0.12,0.07,0.1,0.06,0.07,0.49,0.09,0.06,0.15,0.0,0.06,0.04,0.04,0.16,0.04,0.04,0.13,0.11,0.22,0.0,0.22,0.08,0.02,0.09,0.02,0.04,0.08,0.11,0.62,0.0,0.03,0.03,0.04,0.0,0.09,0.09,0.1,0.2,0.44,0.0
39,39,0.03,0.0,0.07,0.05,0.13,0.42,0.15,0.1,0.05,0.03,0.02,0.0,0.05,0.12,0.08,0.57,0.08,0.05,0.01,0.0,0.02,0.0,0.11,0.32,0.46,0.04,0.04,0.08,0.25,0.07,0.2,0.0,0.13,0.08,0.11,0.08,0.1,0.26,0.2,0.09,0.2,0.0,0.08,0.03,0.05,0.18,0.07,0.06,0.09,0.13,0.14,0.0,0.21,0.12,0.01,0.11,0.02,0.04,0.07,0.08,0.64,0.0,0.03,0.04,0.04,0.0,0.09,0.09,0.09,0.2,0.44,0.0
40,40,0.41,0.0,0.03,0.05,0.06,0.08,0.21,0.11,0.05,0.02,0.01,0.0,0.04,0.08,0.06,0.68,0.07,0.04,0.01,0.01,0.02,0.0,0.26,0.25,0.35,0.05,0.05,0.05,0.18,0.07,0.24,0.0,0.08,0.14,0.15,0.09,0.19,0.2,0.09,0.11,0.18,0.0,0.14,0.04,0.05,0.04,0.03,0.05,0.08,0.31,0.3,0.0,0.08,0.11,0.01,0.1,0.01,0.04,0.08,0.08,0.64,0.0,0.02,0.04,0.04,0.0,0.08,0.09,0.09,0.23,0.43,0.0
41,41,0.01,0.0,0.03,0.05,0.11,0.59,0.11,0.04,0.05,0.02,0.03,0.0,0.03,0.18,0.26,0.36,0.07,0.04,0.01,0.01,0.02,0.0,0.31,0.16,0.4,0.04,0.05,0.05,0.2,0.07,0.25,0.0,0.08,0.11,0.15,0.09,0.3,0.09,0.07,0.14,0.2,0.0,0.12,0.04,0.04,0.0,0.02,0.68,0.08,0.1,0.05,0.0,0.06,0.02,0.01,0.09,0.0,0.04,0.09,0.1,0.64,0.0,0.02,0.06,0.04,0.0,0.09,0.1,0.08,0.19,0.44,0.0
42,42,0.01,0.0,0.03,0.06,0.12,0.59,0.11,0.04,0.04,0.03,0.04,0.0,0.06,0.21,0.16,0.26,0.15,0.08,0.03,0.01,0.02,0.0,0.44,0.13,0.28,0.04,0.06,0.09,0.22,0.07,0.18,0.0,0.08,0.12,0.14,0.09,0.31,0.22,0.06,0.09,0.14,0.0,0.11,0.05,0.03,0.0,0.01,0.66,0.1,0.09,0.05,0.0,0.06,0.03,0.01,0.1,0.0,0.04,0.09,0.09,0.64,0.0,0.02,0.03,0.04,0.0,0.09,0.1,0.09,0.22,0.43,0.0
