,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
22,22,0.12,0.0,0.24,0.14,0.17,0.1,0.23,0.06,0.25,0.0,0.2,0.14,0.15,0.2,0.18,0.25,0.18,0.0,0.1,0.11,0.17,0.08,0.08,0.25,0.25,0.0,0.06,0.27,0.04,0.24,0.2,0.12,0.11,0.0,0.29,0.15,0.15,0.3,0.21,0.08,0.11,0.0
23,23,0.07,0.0,0.23,0.27,0.17,0.1,0.15,0.04,0.16,0.0,0.38,0.1,0.17,0.16,0.15,0.38,0.2,0.0,0.09,0.11,0.07,0.07,0.09,0.21,0.49,0.0,0.04,0.09,0.03,0.15,0.18,0.39,0.14,0.0,0.11,0.15,0.12,0.21,0.37,0.07,0.08,0.0
24,24,0.1,0.0,0.17,0.27,0.14,0.16,0.16,0.03,0.14,0.0,0.39,0.13,0.17,0.14,0.14,0.28,0.23,0.0,0.09,0.16,0.1,0.05,0.11,0.22,0.37,0.0,0.12,0.12,0.03,0.19,0.13,0.23,0.17,0.0,0.26,0.1,0.16,0.17,0.36,0.08,0.12,0.0
25,25,0.12,0.0,0.19,0.19,0.14,0.17,0.18,0.05,0.15,0.0,0.31,0.11,0.14,0.25,0.19,0.23,0.29,0.0,0.09,0.11,0.08,0.06,0.14,0.26,0.29,0.0,0.07,0.18,0.04,0.23,0.17,0.19,0.11,0.0,0.25,0.14,0.15,0.2,0.25,0.06,0.19,0.0
26,26,0.11,0.0,0.15,0.3,0.14,0.14,0.15,0.04,0.17,0.0,0.33,0.13,0.14,0.19,0.19,0.17,0.29,0.0,0.11,0.1,0.15,0.06,0.06,0.1,0.4,0.0,0.05,0.34,0.04,0.12,0.1,0.19,0.21,0.0,0.34,0.09,0.14,0.26,0.37,0.09,0.05,0.0
27,27,0.15,0.0,0.17,0.2,0.14,0.17,0.17,0.04,0.12,0.0,0.38,0.11,0.13,0.22,0.21,0.19,0.24,0.0,0.11,0.15,0.1,0.06,0.1,0.25,0.36,0.0,0.05,0.18,0.05,0.19,0.15,0.18,0.16,0.0,0.28,0.11,0.14,0.22,0.34,0.09,0.1,0.0
28,28,0.06,0.0,0.16,0.26,0.18,0.17,0.17,0.04,0.1,0.0,0.42,0.14,0.16,0.15,0.19,0.08,0.11,0.0,0.21,0.28,0.13,0.08,0.15,0.17,0.34,0.0,0.11,0.15,0.03,0.13,0.14,0.34,0.22,0.0,0.14,0.09,0.12,0.25,0.29,0.09,0.16,0.0
29,29,0.14,0.0,0.21,0.2,0.15,0.13,0.18,0.06,0.24,0.0,0.26,0.12,0.15,0.16,0.15,0.14,0.28,0.0,0.21,0.12,0.09,0.12,0.12,0.25,0.26,0.0,0.13,0.12,0.04,0.16,0.19,0.31,0.21,0.0,0.09,0.18,0.16,0.24,0.26,0.09,0.07,0.0
30,30,0.18,0.0,0.16,0.13,0.14,0.16,0.22,0.09,0.19,0.0,0.29,0.09,0.13,0.2,0.29,0.22,0.26,0.0,0.09,0.07,0.07,0.29,0.1,0.15,0.16,0.0,0.17,0.12,0.08,0.29,0.14,0.06,0.07,0.0,0.35,0.2,0.15,0.27,0.24,0.09,0.05,0.0
31,31,0.08,0.0,0.32,0.15,0.1,0.11,0.25,0.07,0.19,0.0,0.15,0.1,0.13,0.36,0.13,0.21,0.42,0.0,0.06,0.06,0.12,0.08,0.09,0.37,0.11,0.0,0.06,0.28,0.06,0.25,0.25,0.07,0.1,0.0,0.27,0.16,0.16,0.36,0.19,0.06,0.06,0.0
32,32,0.07,0.0,0.26,0.2,0.22,0.1,0.14,0.06,0.31,0.0,0.21,0.13,0.14,0.15,0.12,0.25,0.32,0.0,0.12,0.11,0.07,0.08,0.17,0.35,0.26,0.0,0.08,0.06,0.04,0.3,0.17,0.24,0.14,0.0,0.11,0.08,0.2,0.27,0.25,0.11,0.09,0.0
33,33,0.09,0.0,0.21,0.22,0.17,0.12,0.19,0.06,0.11,0.0,0.4,0.12,0.15,0.16,0.12,0.14,0.31,0.0,0.21,0.13,0.09,0.06,0.09,0.36,0.28,0.0,0.07,0.14,0.03,0.17,0.15,0.24,0.23,0.0,0.18,0.11,0.14,0.23,0.26,0.16,0.11,0.0
34,34,0.09,0.0,0.2,0.14,0.15,0.13,0.29,0.07,0.17,0.0,0.33,0.11,0.13,0.19,0.15,0.15,0.31,0.0,0.19,0.08,0.11,0.12,0.15,0.28,0.17,0.0,0.1,0.18,0.06,0.27,0.21,0.13,0.11,0.0,0.23,0.31,0.1,0.17,0.23,0.09,0.09,0.0
35,35,0.09,0.0,0.18,0.13,0.16,0.13,0.3,0.08,0.18,0.0,0.38,0.1,0.1,0.15,0.24,0.18,0.29,0.0,0.12,0.08,0.09,0.12,0.09,0.14,0.1,0.0,0.14,0.4,0.08,0.29,0.15,0.07,0.09,0.0,0.33,0.19,0.11,0.31,0.23,0.08,0.06,0.0
36,36,0.04,0.0,0.13,0.09,0.08,0.08,0.21,0.03,0.06,0.0,0.25,0.07,0.11,0.12,0.15,0.06,0.12,0.0,0.13,0.09,0.08,0.07,0.07,0.14,0.11,0.0,0.16,0.09,0.03,0.14,0.15,0.13,0.05,0.0,0.13,0.09,0.09,0.12,0.14,0.06,0.14,0.0
