,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
10,10,0.08,0.0,0.18,0.38,0.12,0.06,0.11,0.07,0.06,0.07,0.0,0.44,0.15,0.12,0.05,0.11,0.12,0.06,0.28,0.0,0.08,0.31,0.06,0.08,0.07,0.07,0.2,0.39,0.0,0.08,0.11,0.08,0.19,0.12,0.07,0.34,0.1,0.0,0.1,0.09,0.09,0.06,0.17,0.24,0.06,0.19,0.0,0.19,0.03,0.09,0.3,0.36,0.08,0.09,0.05,0.0
11,11,0.08,0.0,0.14,0.29,0.09,0.07,0.18,0.15,0.09,0.07,0.0,0.42,0.1,0.08,0.09,0.14,0.09,0.04,0.2,0.0,0.12,0.18,0.24,0.13,0.08,0.09,0.18,0.27,0.0,0.08,0.24,0.07,0.13,0.08,0.17,0.19,0.13,0.0,0.21,0.09,0.1,0.08,0.21,0.25,0.06,0.13,0.0,0.17,0.03,0.08,0.25,0.2,0.12,0.09,0.22,0.0
12,12,0.1,0.0,0.2,0.26,0.09,0.05,0.09,0.21,0.08,0.08,0.0,0.38,0.11,0.1,0.06,0.19,0.05,0.07,0.53,0.0,0.03,0.22,0.04,0.06,0.05,0.1,0.23,0.27,0.0,0.08,0.11,0.15,0.13,0.15,0.22,0.17,0.06,0.0,0.14,0.12,0.2,0.08,0.16,0.14,0.06,0.14,0.0,0.21,0.03,0.2,0.54,0.07,0.06,0.07,0.03,0.0
13,13,0.15,0.0,0.14,0.17,0.14,0.1,0.15,0.16,0.07,0.09,0.0,0.35,0.14,0.12,0.07,0.16,0.08,0.09,0.22,0.0,0.13,0.22,0.1,0.15,0.1,0.09,0.15,0.17,0.0,0.18,0.19,0.12,0.17,0.18,0.06,0.19,0.13,0.0,0.21,0.07,0.17,0.13,0.17,0.14,0.09,0.21,0.0,0.1,0.04,0.17,0.25,0.14,0.15,0.12,0.11,0.0
14,14,0.16,0.0,0.21,0.13,0.09,0.21,0.12,0.07,0.05,0.15,0.0,0.25,0.11,0.26,0.09,0.09,0.15,0.07,0.33,0.0,0.08,0.15,0.08,0.14,0.08,0.08,0.17,0.14,0.0,0.17,0.27,0.09,0.15,0.16,0.1,0.18,0.1,0.0,0.26,0.05,0.14,0.14,0.12,0.08,0.06,0.32,0.0,0.13,0.04,0.19,0.27,0.14,0.11,0.15,0.09,0.0
15,15,0.06,0.0,0.15,0.14,0.09,0.06,0.16,0.34,0.23,0.13,0.0,0.18,0.09,0.13,0.1,0.14,0.06,0.08,0.37,0.0,0.03,0.36,0.04,0.05,0.06,0.09,0.16,0.3,0.0,0.09,0.19,0.11,0.2,0.13,0.06,0.16,0.1,0.0,0.23,0.13,0.09,0.1,0.09,0.11,0.07,0.21,0.0,0.32,0.04,0.52,0.2,0.08,0.05,0.09,0.03,0.0
16,16,0.06,0.0,0.13,0.21,0.13,0.1,0.17,0.2,0.13,0.14,0.0,0.23,0.09,0.13,0.09,0.19,0.07,0.06,0.25,0.0,0.1,0.35,0.07,0.1,0.11,0.15,0.14,0.17,0.0,0.15,0.19,0.09,0.1,0.11,0.09,0.15,0.12,0.0,0.3,0.13,0.13,0.09,0.09,0.14,0.07,0.17,0.0,0.3,0.04,0.36,0.26,0.1,0.1,0.09,0.06,0.0
17,17,0.05,0.0,0.19,0.13,0.24,0.11,0.22,0.05,0.1,0.12,0.0,0.17,0.28,0.16,0.09,0.08,0.09,0.04,0.23,0.0,0.3,0.19,0.09,0.07,0.13,0.08,0.14,0.22,0.0,0.13,0.21,0.09,0.07,0.1,0.13,0.25,0.28,0.0,0.12,0.05,0.11,0.1,0.1,0.13,0.22,0.24,0.0,0.11,0.03,0.22,0.1,0.09,0.32,0.08,0.15,0.0
18,18,0.07,0.0,0.11,0.36,0.26,0.1,0.08,0.03,0.05,0.11,0.0,0.29,0.31,0.12,0.05,0.07,0.04,0.1,0.37,0.0,0.16,0.22,0.08,0.03,0.05,0.15,0.15,0.39,0.0,0.1,0.11,0.06,0.06,0.11,0.05,0.4,0.21,0.0,0.13,0.04,0.11,0.08,0.07,0.25,0.17,0.27,0.0,0.05,0.02,0.15,0.15,0.34,0.19,0.1,0.03,0.0
19,19,0.05,0.0,0.15,0.18,0.17,0.09,0.21,0.16,0.06,0.1,0.0,0.35,0.23,0.09,0.07,0.1,0.07,0.05,0.13,0.0,0.31,0.14,0.18,0.13,0.08,0.08,0.12,0.2,0.0,0.25,0.12,0.15,0.09,0.08,0.05,0.36,0.2,0.0,0.13,0.1,0.07,0.08,0.06,0.23,0.22,0.27,0.0,0.07,0.04,0.07,0.1,0.13,0.41,0.19,0.07,0.0
20,20,0.03,0.0,0.14,0.13,0.21,0.18,0.18,0.13,0.13,0.09,0.0,0.3,0.17,0.12,0.06,0.13,0.1,0.07,0.2,0.0,0.15,0.28,0.09,0.1,0.06,0.06,0.14,0.25,0.0,0.09,0.2,0.2,0.14,0.23,0.08,0.22,0.15,0.0,0.08,0.11,0.07,0.12,0.06,0.21,0.11,0.23,0.0,0.19,0.06,0.18,0.13,0.19,0.24,0.13,0.07,0.0
21,21,0.06,0.0,0.09,0.22,0.25,0.12,0.13,0.13,0.09,0.12,0.0,0.31,0.23,0.08,0.06,0.1,0.07,0.07,0.17,0.0,0.33,0.15,0.15,0.07,0.09,0.06,0.14,0.22,0.0,0.14,0.2,0.16,0.07,0.06,0.06,0.29,0.22,0.0,0.18,0.12,0.08,0.07,0.06,0.18,0.21,0.3,0.0,0.11,0.05,0.08,0.11,0.2,0.26,0.15,0.14,0.0
22,22,0.03,0.0,0.15,0.2,0.25,0.08,0.17,0.12,0.05,0.16,0.0,0.16,0.24,0.14,0.08,0.16,0.07,0.04,0.11,0.0,0.34,0.13,0.2,0.11,0.09,0.06,0.1,0.16,0.0,0.17,0.21,0.2,0.08,0.06,0.05,0.29,0.27,0.0,0.09,0.17,0.1,0.06,0.06,0.14,0.19,0.32,0.0,0.14,0.04,0.05,0.06,0.09,0.36,0.12,0.28,0.0
23,23,0.04,0.0,0.17,0.14,0.22,0.16,0.14,0.13,0.13,0.14,0.0,0.22,0.24,0.1,0.07,0.1,0.07,0.04,0.16,0.0,0.27,0.19,0.18,0.09,0.1,0.08,0.15,0.29,0.0,0.13,0.19,0.07,0.24,0.09,0.09,0.22,0.18,0.0,0.09,0.09,0.23,0.07,0.09,0.12,0.12,0.2,0.0,0.17,0.05,0.13,0.13,0.19,0.27,0.09,0.14,0.0
24,24,0.05,0.0,0.19,0.14,0.14,0.13,0.26,0.08,0.08,0.23,0.0,0.22,0.09,0.16,0.1,0.12,0.14,0.08,0.23,0.0,0.07,0.23,0.11,0.13,0.11,0.15,0.12,0.17,0.0,0.17,0.18,0.1,0.12,0.32,0.05,0.19,0.08,0.0,0.19,0.05,0.18,0.17,0.13,0.17,0.08,0.19,0.0,0.09,0.04,0.4,0.14,0.17,0.1,0.09,0.05,0.0
25,25,0.03,0.0,0.2,0.22,0.18,0.15,0.19,0.03,0.07,0.15,0.0,0.27,0.15,0.15,0.1,0.11,0.07,0.02,0.1,0.0,0.22,0.15,0.26,0.19,0.06,0.06,0.11,0.41,0.0,0.14,0.14,0.08,0.07,0.08,0.08,0.3,0.21,0.0,0.21,0.06,0.14,0.09,0.15,0.34,0.07,0.13,0.0,0.08,0.04,0.18,0.18,0.31,0.11,0.08,0.1,0.0
26,26,0.03,0.0,0.35,0.15,0.16,0.12,0.14,0.04,0.09,0.12,0.0,0.23,0.19,0.15,0.11,0.12,0.06,0.11,0.2,0.0,0.16,0.12,0.08,0.28,0.11,0.08,0.21,0.23,0.0,0.12,0.16,0.09,0.09,0.14,0.04,0.41,0.2,0.0,0.08,0.04,0.14,0.13,0.13,0.25,0.1,0.15,0.0,0.09,0.03,0.11,0.23,0.19,0.25,0.09,0.1,0.0
27,27,0.13,0.0,0.23,0.25,0.15,0.08,0.11,0.06,0.06,0.09,0.0,0.3,0.28,0.12,0.07,0.09,0.09,0.05,0.36,0.0,0.14,0.15,0.13,0.08,0.05,0.09,0.3,0.31,0.0,0.09,0.08,0.08,0.08,0.06,0.11,0.31,0.27,0.0,0.1,0.08,0.08,0.08,0.1,0.34,0.12,0.23,0.0,0.05,0.04,0.21,0.28,0.14,0.13,0.14,0.05,0.0
28,28,0.24,0.0,0.17,0.11,0.09,0.09,0.12,0.17,0.08,0.17,0.0,0.23,0.14,0.11,0.11,0.16,0.14,0.03,0.16,0.0,0.11,0.17,0.09,0.3,0.09,0.09,0.13,0.15,0.0,0.14,0.23,0.18,0.2,0.13,0.1,0.17,0.07,0.0,0.2,0.12,0.17,0.12,0.15,0.1,0.09,0.21,0.0,0.17,0.08,0.27,0.17,0.14,0.16,0.1,0.09,0.0
29,29,0.1,0.0,0.12,0.22,0.13,0.08,0.13,0.23,0.07,0.11,0.0,0.21,0.19,0.15,0.11,0.16,0.11,0.02,0.08,0.0,0.11,0.13,0.09,0.47,0.18,0.06,0.1,0.11,0.0,0.11,0.33,0.1,0.36,0.06,0.12,0.19,0.07,0.0,0.11,0.08,0.09,0.08,0.08,0.39,0.09,0.13,0.0,0.14,0.04,0.05,0.07,0.19,0.25,0.09,0.31,0.0
30,30,0.03,0.0,0.14,0.25,0.14,0.09,0.29,0.06,0.09,0.18,0.0,0.2,0.11,0.12,0.2,0.11,0.08,0.06,0.24,0.0,0.13,0.18,0.17,0.14,0.13,0.07,0.19,0.21,0.0,0.08,0.21,0.11,0.12,0.17,0.08,0.3,0.13,0.0,0.12,0.07,0.06,0.06,0.06,0.4,0.08,0.2,0.0,0.13,0.03,0.07,0.08,0.3,0.25,0.11,0.16,0.0
31,31,0.06,0.0,0.18,0.11,0.08,0.07,0.46,0.05,0.12,0.18,0.0,0.21,0.09,0.15,0.16,0.1,0.08,0.05,0.23,0.0,0.1,0.28,0.19,0.08,0.1,0.09,0.13,0.25,0.0,0.11,0.24,0.08,0.1,0.16,0.14,0.16,0.12,0.0,0.23,0.1,0.1,0.08,0.09,0.39,0.09,0.15,0.0,0.11,0.03,0.05,0.07,0.16,0.1,0.22,0.37,0.0
32,32,0.09,0.0,0.18,0.18,0.16,0.09,0.24,0.07,0.08,0.11,0.0,0.27,0.15,0.12,0.15,0.11,0.09,0.04,0.19,0.0,0.2,0.11,0.25,0.11,0.06,0.1,0.11,0.26,0.0,0.18,0.15,0.14,0.18,0.06,0.09,0.14,0.13,0.0,0.27,0.13,0.09,0.07,0.09,0.14,0.08,0.17,0.0,0.36,0.04,0.06,0.08,0.11,0.2,0.08,0.42,0.0
33,33,0.06,0.0,0.18,0.17,0.3,0.11,0.13,0.05,0.07,0.12,0.0,0.21,0.2,0.15,0.16,0.1,0.1,0.05,0.16,0.0,0.24,0.19,0.13,0.13,0.1,0.07,0.14,0.22,0.0,0.13,0.25,0.09,0.21,0.1,0.05,0.22,0.18,0.0,0.13,0.11,0.06,0.09,0.06,0.24,0.2,0.25,0.0,0.09,0.03,0.06,0.07,0.2,0.31,0.08,0.24,0.0
34,34,0.04,0.0,0.15,0.14,0.23,0.11,0.17,0.16,0.06,0.11,0.0,0.29,0.21,0.09,0.11,0.13,0.09,0.03,0.1,0.0,0.29,0.17,0.17,0.14,0.07,0.08,0.16,0.18,0.0,0.13,0.2,0.18,0.08,0.05,0.11,0.21,0.16,0.0,0.24,0.16,0.07,0.07,0.09,0.19,0.1,0.16,0.0,0.32,0.11,0.11,0.09,0.11,0.29,0.15,0.15,0.0
35,35,0.13,0.0,0.14,0.12,0.21,0.1,0.18,0.1,0.06,0.07,0.0,0.51,0.13,0.09,0.06,0.08,0.09,0.06,0.16,0.0,0.2,0.18,0.18,0.14,0.11,0.08,0.11,0.08,0.0,0.18,0.28,0.17,0.18,0.16,0.06,0.2,0.13,0.0,0.2,0.08,0.07,0.07,0.06,0.25,0.22,0.27,0.0,0.05,0.05,0.08,0.06,0.13,0.38,0.11,0.19,0.0
36,36,0.04,0.0,0.12,0.16,0.35,0.11,0.17,0.05,0.07,0.09,0.0,0.34,0.28,0.09,0.05,0.08,0.06,0.03,0.09,0.0,0.4,0.13,0.22,0.07,0.08,0.13,0.14,0.19,0.0,0.13,0.21,0.12,0.19,0.11,0.04,0.32,0.21,0.0,0.07,0.06,0.11,0.06,0.07,0.17,0.19,0.33,0.0,0.08,0.04,0.07,0.05,0.11,0.47,0.09,0.16,0.0
37,37,0.04,0.0,0.07,0.22,0.44,0.06,0.13,0.03,0.04,0.07,0.0,0.24,0.38,0.07,0.05,0.13,0.04,0.03,0.06,0.0,0.64,0.04,0.13,0.07,0.08,0.06,0.11,0.16,0.0,0.29,0.15,0.15,0.15,0.1,0.03,0.38,0.24,0.0,0.06,0.05,0.06,0.05,0.04,0.08,0.33,0.37,0.0,0.07,0.05,0.05,0.05,0.08,0.32,0.22,0.22,0.0
38,38,0.09,0.0,0.18,0.18,0.17,0.07,0.21,0.1,0.06,0.13,0.0,0.28,0.18,0.11,0.09,0.15,0.06,0.04,0.12,0.0,0.43,0.12,0.13,0.11,0.07,0.06,0.11,0.17,0.0,0.17,0.17,0.23,0.19,0.06,0.06,0.16,0.1,0.0,0.3,0.13,0.13,0.08,0.1,0.19,0.13,0.28,0.0,0.09,0.09,0.12,0.07,0.13,0.3,0.17,0.12,0.0
39,39,0.09,0.0,0.14,0.1,0.14,0.18,0.12,0.08,0.05,0.12,0.0,0.23,0.12,0.11,0.1,0.12,0.08,0.02,0.07,0.0,0.23,0.1,0.13,0.22,0.1,0.05,0.1,0.08,0.0,0.1,0.16,0.26,0.17,0.09,0.1,0.15,0.08,0.0,0.17,0.09,0.06,0.06,0.05,0.24,0.11,0.19,0.0,0.15,0.03,0.05,0.08,0.07,0.27,0.16,0.19,0.0
